Product_Name,Price,Discount,Category
Organic Black Mustard,₹72,10% OFF,?q=grocery&nc=as
Hing Powder,₹75,17% OFF,?q=grocery&nc=as
Organic - Cumin/Jeera/Jeerige,₹185.4,69% OFF,?q=grocery&nc=as
Organic - Urad Whole Gota Unpolished,₹306.44,39% OFF,?q=grocery&nc=as
Sooji Ordinary/Bombay Rava,₹325,18% OFF,?q=grocery&nc=as
Organic Fried Gram/Huri Kadale,₹140,57% OFF,?q=grocery&nc=as
Powder - Asafoetida,₹883,30% OFF,?q=grocery&nc=as
Organic - Toor Dal/Togari Bele,₹1016,38% OFF,?q=grocery&nc=as
"Chilean Walnut Kernels - 100% Natural, Premium & Healthy, No Additives",₹371.38,49% OFF,?q=grocery&nc=as
Organic - Cardamom/Elachi Green,₹505.8,29% OFF,?q=grocery&nc=as
Organic - Cinnamon/Dalchini,₹255.6,₹11 OFF,?q=grocery&nc=as
Fine Besan/Kadale Hittu - 100% Chana Dal,₹137.97,₹40 OFF,?q=grocery&nc=as
Sona Masoori Raw Rice (12-17 Months old),₹360,₹12 OFF,?q=grocery&nc=as
Chicken Masala,₹103.5,64% OFF,?q=grocery&nc=as
"Chilli Powder - Perfect Colour, Smell & Taste",₹123,43% OFF,?q=grocery&nc=as
Vietnamese Cassia Whole,₹107.64,51% OFF,?q=grocery&nc=as
"Cotton Canvas Vegetable/Grocery Bag - Printed, White, Reusable",₹369,51% OFF,?q=grocery&nc=as
Ginger Powder - Rich Aroma & Sharp Flavour,₹329,14% OFF,?q=grocery&nc=as
Oregano,₹209,,?q=grocery&nc=as
"Dried Cranberry - Low In Calorie, No Preservatives",₹419,,?q=grocery&nc=as
Afghan Kismiss,₹395,,?q=grocery&nc=as
"Roasted & Salted Peanuts - Tangy Flavour, High Protein & Fibre",₹219,,?q=grocery&nc=as
Masala - Garam,₹185,,?q=grocery&nc=as
Masala - Chhole,₹67,,?q=grocery&nc=as
"Grocery Jar - Durable, Blue",₹139,,?q=grocery&nc=as
Powder - Turmeric,₹72,,?q=grocery&nc=as
"Masala - Kitchen King, Jain",₹94,,?q=grocery&nc=as
Powder - Kashmiri Chilli,₹195,,?q=grocery&nc=as
"Afghan Black Raisins - Seedless, 100% Natural, Premium & Healthy, No Additives",₹295.79,,?q=grocery&nc=as
"Turkish Apricots - Premium & Hand Picked, 100% Natural",₹300.14,,?q=grocery&nc=as
Masala - Dal,₹78,,?q=grocery&nc=as
"Masala - Mix, Special, Jain",,,?q=grocery&nc=as
"Magic King Basket Daily Vegetable, Grocery - Red",,,?q=grocery&nc=as
Jeera,,,?q=grocery&nc=as
