Product_Name,Price,Discount,Category
Namkeen - Tasty Nuts,165,39,snacks
Namkeen - Masala Kaju,100,17,snacks
Tasty Peanuts - Spice Coated,117,10,snacks
Namkeen - Salted Peanut,56,31,snacks
Namkeen - Lite Chiwda,9,6,snacks
Ragi Sticks - Achari Masala,76,18,snacks
"Kerala Banana Chips - Original Style, Thin & Crispy, Delicious",157,39,snacks
Khara Boondi,58,20,snacks
Shankarpali Sweet - Mithai,75,39,snacks
Namkeen - Lite Chiwda,56,38,snacks
Khatta Meetha,120,31,snacks
Gujarati Besan Papdi,67,6,snacks
West Indies Hot N Sweet Potato Chips - Crispy Chips & Snacks,80,4,snacks
Quinoa Puffs - Onion Masala,76,37,snacks
Tamil Nadu Madras Mixture,65,10,snacks
Chaat Papdi - Crispy,150,22,snacks
Mixture Namkeen,42,25,snacks
Makhana - Cream & Onion,116,11,snacks
"Chegodi, Telugu Speciality Snacks",69,33,snacks
Tapioca Chips Chilly,40,37,snacks
"Cornflakes Mixture - Namkeen, No Transfats Or Cholesterol, Evening Teatime Snack",49,0,snacks
Namkeen - Tasty Nuts Spiced Coated Fried Peanuts,95,0,snacks
Phalhari Chiwda Namkeen,50,0,snacks
Masala Peanut,65,0,snacks
Chana Jor Garam,45,0,snacks
All In One Mixture,114,0,snacks
Nacho Chips - Nacho Cheese Flavour,112,0,snacks
Bhujia Sev,164,0,snacks
Good Day Chocochip Cookies,93,0,snacks
"Chekkalu, Telugu Speciality Snacks",69,0,snacks
Vacuum Evaporated Iodised Edible Common Salt,27,4,grocery
Organic - Raw Peanuts/Kadalekayi,108,20,grocery
"Indian Cashew Whole - Premium & Hand Picked, 100% Natural",537,23,grocery
"American Pistachios - Roasted & Salted, 100% Natural, Premium, No Additives",678,15,grocery
"Indian Roasted Flax Seeds - Premium & Hand Picked, 100% Natural",53,73,grocery
Organic Black Mustard,72,10,grocery
Hing Powder,75,17,grocery
Organic - Cumin/Jeera/Jeerige,185,69,grocery
Organic - Urad Whole Gota Unpolished,306,39,grocery
Sooji Ordinary/Bombay Rava,325,18,grocery
Organic Fried Gram/Huri Kadale,140,57,grocery
Powder - Asafoetida,883,30,grocery
Organic - Toor Dal/Togari Bele,1016,38,grocery
"Chilean Walnut Kernels - 100% Natural, Premium & Healthy, No Additives",371,49,grocery
Organic - Cardamom/Elachi Green,505,29,grocery
Organic - Cinnamon/Dalchini,255,11,grocery
Fine Besan/Kadale Hittu - 100% Chana Dal,137,40,grocery
Sona Masoori Raw Rice (12-17 Months old),360,12,grocery
Chicken Masala,103,64,grocery
"Chilli Powder - Perfect Colour, Smell & Taste",123,43,grocery
Vietnamese Cassia Whole,107,51,grocery
"Cotton Canvas Vegetable/Grocery Bag - Printed, White, Reusable",369,51,grocery
Ginger Powder - Rich Aroma & Sharp Flavour,329,14,grocery
Oregano,209,0,grocery
"Dried Cranberry - Low In Calorie, No Preservatives",419,0,grocery
Afghan Kismiss,395,0,grocery
"Roasted & Salted Peanuts - Tangy Flavour, High Protein & Fibre",219,0,grocery
Masala - Garam,185,0,grocery
Masala - Chhole,67,0,grocery
"Grocery Jar - Durable, Blue",139,0,grocery
Powder - Turmeric,72,0,grocery
"Masala - Kitchen King, Jain",94,0,grocery
Powder - Kashmiri Chilli,195,0,grocery
"Afghan Black Raisins - Seedless, 100% Natural, Premium & Healthy, No Additives",295,0,grocery
"Turkish Apricots - Premium & Hand Picked, 100% Natural",300,0,grocery
Masala - Dal,78,0,grocery
Vacuum Evaporated Iodised Edible Common Salt,27,4,grocery
